,Size & Momentum(2X3) Big - Down,Size & Momentum(2X3) Big - Medium,Size & Momentum(2X3x) BIg - Up,Size & Momentum(2X3) Small - Down,Size & Momentum(2X3) Small - Medium,Size & Momentum(2X3) Small - Up,UMD
2000-11-28 00:00:00,-2.51,-1.89,-3.81,-1.82,-1.18,-3.46,-1.4699999999999998
2000-11-29 00:00:00,-3.54,-2.81,-4.4,-2.58,-2.44,-2.89,-0.5850000000000004
2000-11-30 00:00:00,-0.56,-0.91,-1.82,0.03,-0.97,-0.55,-0.92
2000-12-01 00:00:00,-0.21,0.67,2.46,-0.54,-0.44,1.17,2.19
2000-12-04 00:00:00,-2.68,-1.98,-3.42,-0.31,0.36,0.76,0.16500000000000004
2000-12-05 00:00:00,1.93,3.34,2.73,1.34,0.97,0.59,0.02499999999999991
2000-12-06 00:00:00,-0.03,0.05,0.28,-0.53,-0.91,-0.41,0.21500000000000005
2000-12-07 00:00:00,0.33,1.17,1.28,-0.39,-0.14,0.21,0.775
2000-12-08 00:00:00,2.22,2.45,1.4,1.94,1.15,0.54,-1.11
2000-12-11 00:00:00,3.24,3.41,4.57,1.24,1.52,0.71,0.3999999999999999
2000-12-12 00:00:00,-2.32,-1.92,-2.52,0.29,-0.51,0.79,0.1499999999999999
2000-12-13 00:00:00,1.95,2.69,2.56,0.67,1.18,1.36,0.6499999999999999
2000-12-14 00:00:00,0.44,-2.27,-2.18,0.76,1.54,1.67,-0.8550000000000001
2000-12-15 00:00:00,-2.72,-2.3,-2.93,-1.77,-1.44,-2.81,-0.625
2000-12-18 00:00:00,-2.49,1.16,1.55,0.53,1.87,0.78,2.145
2000-12-19 00:00:00,-5.01,-1.77,-0.61,-3.14,-1.17,-1.57,2.9850000000000003
2000-12-20 00:00:00,-7.65,-2.28,-3.22,-5.58,-6.06,-7.75,1.13
2000-12-21 00:00:00,-3.57,-0.44,0.09,-3.63,-4.05,-6.13,0.5799999999999996
2000-12-22 00:00:00,-3.31,-1.8,-2.88,-4.38,-3.98,-7.46,-1.3250000000000002
2000-12-25 00:00:00,-3.31,-1.8,-2.88,-4.38,-3.98,-7.46,-1.3250000000000002
2000-12-26 00:00:00,2.93,0.4,0.87,-0.23,-0.23,-3.96,-2.895
2000-12-27 00:00:00,2.93,0.4,0.87,-0.23,-0.23,-3.96,-2.895
2000-12-28 00:00:00,2.93,0.4,0.87,-0.23,-0.23,-3.96,-2.895
2000-12-29 00:00:00,2.93,0.4,0.87,-0.23,-0.23,-3.96,-2.895
2001-01-01 00:00:00,2.93,0.4,0.87,-0.23,-0.23,-3.96,-2.895
2001-01-02 00:00:00,3.87,3.61,0.65,8.94,4.36,7.75,-2.204999999999999
