,Size & Book Value(2X3) Big - High,Size & Book Value(2X3) Big - Low,Size & Book Value(2X3) Big - Medium,Size & Book Value(2X3) Small - High,Size & Book Value(2X3) Small - Low,Size & Book Value(2X3) Small - Medium,SMB,HML
2000-07-26 00:00:00,0.61,-0.58,1.47,0.67,1.37,1.08,-0.54,0.24499999999999994
2000-07-27 00:00:00,0.58,-2.22,-2.27,0.59,2.96,2.54,-3.333333333333333,0.21500000000000008
2000-07-28 00:00:00,-1.36,-6.39,-4.39,-0.85,-0.13,-0.98,-3.3933333333333335,2.155
2000-07-31 00:00:00,1.03,1.28,2.5,0.88,-1.16,-0.29,1.7933333333333334,0.895
2000-08-01 00:00:00,2.31,2.37,3.5,3,4.64,3.51,-0.9899999999999998,-0.8499999999999996
2000-08-02 00:00:00,0.58,0.35,0.07,-0.03,0.65,1.29,-0.3033333333333334,-0.22500000000000003
2000-08-03 00:00:00,-0.1,1.34,-1.09,-0.27,2.62,0.38,-0.8600000000000001,-2.165
2000-08-04 00:00:00,-1.14,-1.99,-1.75,-1.06,-0.94,-1.54,-0.44666666666666677,0.36499999999999977
2000-08-07 00:00:00,-4.55,-5.65,-4.32,-1.76,-0.44,-1.11,-3.7366666666666664,-0.10999999999999943
2000-08-08 00:00:00,-0.29,-3.18,-0.97,1.34,1.03,1.21,-2.673333333333334,1.6
2000-08-09 00:00:00,5.82,6.8,5.9,0.93,0.5,0.37,5.573333333333334,-0.2749999999999999
2000-08-10 00:00:00,2.08,1.54,2.7,2.45,0.62,1.78,0.49,1.185
2000-08-11 00:00:00,-0.43,-0.53,-1.6,1.65,0.08,0.79,-1.6933333333333334,0.835
2000-08-14 00:00:00,2.36,-0.17,1.73,3.67,2.31,2.55,-1.536666666666667,1.9449999999999996
2000-08-15 00:00:00,2.36,-0.17,1.73,3.67,2.31,2.55,-1.536666666666667,1.9449999999999996
2000-08-16 00:00:00,0.73,1.7,3.31,-0.32,0.62,-0.87,2.1033333333333335,-0.955
2000-08-17 00:00:00,-1.04,-2.17,-0.67,-0.54,-0.75,-0.26,-0.7766666666666665,0.6699999999999999
2000-08-18 00:00:00,-0.84,-2.95,-1.78,-0.47,-0.04,-0.56,-1.5,0.8400000000000001
2000-08-21 00:00:00,-1.96,-2.83,-0.03,-0.2,0.79,0.31,-1.9066666666666667,-0.06000000000000005
2000-08-22 00:00:00,0.46,2.62,2.28,0.03,0.95,-0.39,1.5899999999999999,-1.54
2000-08-23 00:00:00,-0.61,-3.24,-2.78,-0.34,-1.11,-0.91,-1.4233333333333333,1.7000000000000002
2000-08-24 00:00:00,-0.74,-0.94,-0.1,0.15,-1.4,-1.65,0.3733333333333333,0.875
2000-08-25 00:00:00,1.13,1.49,1.66,0.26,-1.71,-0.92,2.216666666666667,0.8049999999999999
2000-08-28 00:00:00,0.56,3.91,-0.19,1.34,1.83,1.6,-0.1633333333333331,-1.92
2000-08-29 00:00:00,1.22,-0.88,-0.36,0.47,-1.58,0.88,0.07000000000000003,2.075
2000-08-30 00:00:00,-1.04,-1.49,-1.92,-0.07,0.61,-0.47,-1.5066666666666668,-0.11500000000000005
2000-08-31 00:00:00,-2.57,-3.46,-4.73,-2.07,-2.4,-2.38,-1.3033333333333332,0.6099999999999999
2000-09-01 00:00:00,1.18,-0.47,0.85,1.13,0.91,1.57,-0.6833333333333333,0.9349999999999998
2000-09-04 00:00:00,-0.48,-1.18,-2.22,3.33,1.18,1.69,-3.3599999999999994,1.425
2000-09-05 00:00:00,0.61,-0.04,-0.3,-0.52,-2.97,-0.89,1.55,1.55
2000-09-06 00:00:00,-0.31,-0.37,-0.55,1.28,0.26,1.74,-1.5033333333333334,0.54
2000-09-07 00:00:00,-2.71,-2.87,-3.61,-1.75,-4.11,-2.28,-0.34999999999999964,1.2600000000000002
2000-09-08 00:00:00,0.39,-0.39,-0.39,-2.31,-1.1,-2.18,1.7333333333333334,-0.21499999999999986
2000-09-11 00:00:00,0.39,-0.39,-0.39,-2.31,-1.1,-2.18,1.7333333333333334,-0.21499999999999986
2000-09-12 00:00:00,0.39,-0.39,-0.39,-2.31,-1.1,-2.18,1.7333333333333334,-0.21499999999999986
2000-09-13 00:00:00,0.39,-0.39,-0.39,-2.31,-1.1,-2.18,1.7333333333333334,-0.21499999999999986
2000-09-14 00:00:00,-0.23,-0.81,-0.37,-0.64,-0.61,-0.32,0.05333333333333329,0.27499999999999997
2000-09-15 00:00:00,-1.57,-2.79,-4.22,0.49,-1.18,-0.55,-2.4466666666666663,1.4449999999999998
2000-09-18 00:00:00,-8.2,-8.4,-8.53,-7.19,-9.79,-9.17,0.33999999999999986,1.3999999999999986
2000-09-19 00:00:00,-2.85,-2.84,-1,1.36,-3.1,-0.47,-1.4933333333333332,2.2249999999999996
2000-09-20 00:00:00,2.6,4.54,7.3,3.29,4.29,4.75,0.7033333333333331,-1.4699999999999998
2000-09-21 00:00:00,-2.2,-1.43,-2.29,-0.21,-3.48,-2.16,-0.023333333333333428,1.25
