,CP91,CD91
26/03/2002 0:00,4.99,4.83
27/03/2002 0:00,4.99,4.84
28/03/2002 0:00,4.94,4.84
29/03/2002 0:00,4.92,4.83
01/04/2002 0:00,4.88,4.82
02/04/2002 0:00,4.87,4.83
03/04/2002 0:00,4.88,4.83
04/04/2002 0:00,4.87,4.83
05/04/2002 0:00,4.87,4.83
08/04/2002 0:00,4.87,4.83
09/04/2002 0:00,4.87,4.83
10/04/2002 0:00,4.87,4.82
11/04/2002 0:00,4.86,4.82
12/04/2002 0:00,4.86,4.82
15/04/2002 0:00,4.86,4.81
16/04/2002 0:00,4.86,4.81
17/04/2002 0:00,4.85,4.79
18/04/2002 0:00,4.85,4.77
19/04/2002 0:00,4.84,4.76
22/04/2002 0:00,4.84,4.75
23/04/2002 0:00,4.83,4.74
24/04/2002 0:00,4.82,4.74
25/04/2002 0:00,4.81,4.74
26/04/2002 0:00,4.8,4.73
29/04/2002 0:00,4.8,4.72
30/04/2002 0:00,4.8,4.72
01/05/2002 0:00,4.8,4.72
02/05/2002 0:00,4.79,4.71
03/05/2002 0:00,4.76,4.7
06/05/2002 0:00,4.74,4.69
07/05/2002 0:00,4.77,4.76
08/05/2002 0:00,4.84,4.8
09/05/2002 0:00,4.88,4.82
10/05/2002 0:00,4.87,4.81
13/05/2002 0:00,4.88,4.81
14/05/2002 0:00,4.88,4.81
15/05/2002 0:00,4.9,4.82
16/05/2002 0:00,4.9,4.83
17/05/2002 0:00,4.9,4.84
20/05/2002 0:00,4.91,4.84
21/05/2002 0:00,4.93,4.85
22/05/2002 0:00,4.93,4.85
23/05/2002 0:00,4.91,4.84
24/05/2002 0:00,4.9,4.83
27/05/2002 0:00,4.9,4.83
28/05/2002 0:00,4.89,4.83
29/05/2002 0:00,4.89,4.83
30/05/2002 0:00,4.89,4.83
31/05/2002 0:00,4.88,4.83
03/06/2002 0:00,4.87,4.83
04/06/2002 0:00,4.87,4.83
05/06/2002 0:00,4.87,4.83
06/06/2002 0:00,4.87,4.83
07/06/2002 0:00,4.87,4.83
10/06/2002 0:00,4.87,4.83
11/06/2002 0:00,4.87,4.83
12/06/2002 0:00,4.87,4.83
13/06/2002 0:00,4.87,4.83
14/06/2002 0:00,4.88,4.84
17/06/2002 0:00,4.88,4.83
18/06/2002 0:00,4.88,4.83
19/06/2002 0:00,4.89,4.84
20/06/2002 0:00,4.9,4.84
21/06/2002 0:00,4.91,4.85
24/06/2002 0:00,4.92,4.86
25/06/2002 0:00,4.92,4.88
26/06/2002 0:00,4.93,4.89
27/06/2002 0:00,4.94,4.9
28/06/2002 0:00,4.97,4.91
01/07/2002 0:00,4.97,4.91
02/07/2002 0:00,4.97,4.91
03/07/2002 0:00,4.97,4.91
04/07/2002 0:00,4.97,4.92
05/07/2002 0:00,4.98,4.94
08/07/2002 0:00,4.98,4.94
09/07/2002 0:00,4.99,4.95
10/07/2002 0:00,4.99,4.95
11/07/2002 0:00,4.99,4.95
12/07/2002 0:00,4.98,4.95
15/07/2002 0:00,4.98,4.95
16/07/2002 0:00,4.98,4.95
17/07/2002 0:00,4.98,4.95
18/07/2002 0:00,4.98,4.95
19/07/2002 0:00,4.98,4.94
22/07/2002 0:00,4.97,4.92
23/07/2002 0:00,4.95,4.91
24/07/2002 0:00,4.93,4.89
25/07/2002 0:00,4.92,4.86
26/07/2002 0:00,4.9,4.85
29/07/2002 0:00,4.9,4.84
30/07/2002 0:00,4.9,4.84
31/07/2002 0:00,4.89,4.84
01/08/2002 0:00,4.88,4.84
02/08/2002 0:00,4.88,4.83
05/08/2002 0:00,4.86,4.81
06/08/2002 0:00,4.86,4.81
07/08/2002 0:00,4.86,4.8
08/08/2002 0:00,4.85,4.8
09/08/2002 0:00,4.84,4.8
12/08/2002 0:00,4.83,4.8
13/08/2002 0:00,4.83,4.8
14/08/2002 0:00,4.82,4.79
15/08/2002 0:00,4.82,4.79
16/08/2002 0:00,4.82,4.79
19/08/2002 0:00,4.82,4.79
20/08/2002 0:00,4.82,4.79
21/08/2002 0:00,4.82,4.8
22/08/2002 0:00,4.82,4.8
23/08/2002 0:00,4.82,4.8
26/08/2002 0:00,4.82,4.8
27/08/2002 0:00,4.82,4.8
28/08/2002 0:00,4.83,4.8
29/08/2002 0:00,4.83,4.8
30/08/2002 0:00,4.83,4.8
02/09/2002 0:00,4.84,4.8
03/09/2002 0:00,4.84,4.8
04/09/2002 0:00,4.84,4.8
05/09/2002 0:00,4.84,4.8
06/09/2002 0:00,4.84,4.8
09/09/2002 0:00,4.84,4.8
10/09/2002 0:00,4.84,4.8
11/09/2002 0:00,4.84,4.8
12/09/2002 0:00,4.84,4.8
13/09/2002 0:00,4.84,4.8
16/09/2002 0:00,4.84,4.8
17/09/2002 0:00,4.85,4.82
18/09/2002 0:00,4.86,4.82
19/09/2002 0:00,4.86,4.82
20/09/2002 0:00,4.86,4.82
23/09/2002 0:00,4.86,4.82
24/09/2002 0:00,4.86,4.82
25/09/2002 0:00,4.86,4.82
26/09/2002 0:00,4.87,4.82
27/09/2002 0:00,4.88,4.84
30/09/2002 0:00,4.89,4.86
01/10/2002 0:00,4.9,4.86
02/10/2002 0:00,4.9,4.86
03/10/2002 0:00,4.9,4.86
04/10/2002 0:00,4.9,4.87
07/10/2002 0:00,4.9,4.87
08/10/2002 0:00,4.9,4.87
09/10/2002 0:00,4.9,4.87
10/10/2002 0:00,4.9,4.87
11/10/2002 0:00,4.91,4.89
14/10/2002 0:00,4.92,4.9
15/10/2002 0:00,4.94,4.91
16/10/2002 0:00,4.95,4.92
17/10/2002 0:00,4.95,4.93
18/10/2002 0:00,4.96,4.94
21/10/2002 0:00,4.97,4.94
22/10/2002 0:00,4.97,4.94
23/10/2002 0:00,4.97,4.94
24/10/2002 0:00,4.97,4.94
25/10/2002 0:00,4.97,4.94
28/10/2002 0:00,4.98,4.94
29/10/2002 0:00,4.99,4.94
30/10/2002 0:00,5,4.94
31/10/2002 0:00,5.01,4.94
